Time (seconds)	TX_1 (S_21 (dB))	TX_2 (S_21 (dB))	TX_3 (S_21 (dB))	TX_4 (S_21 (dB))	TX_5 (S_21 (dB))	TX_6 (S_21 (dB))	TX_7 (S_21 (dB))	TX_8 (S_21 (dB))	
1.6187	-14.2244-0.0157i	-29.4461-0.0618i	-12.4525+0.0080i	-7.0615+0.1798i	-28.7582-0.0616i	-36.0361-0.0630i	-9.1331+1.6465i	-33.1700-0.0627i
1.6208	-14.2261-0.0157i	-29.6015-0.0619i	-12.4395+0.0082i	-7.0833+0.1786i	-28.6433-0.0615i	-36.0148-0.0630i	-9.0637+1.6441i	-33.1236-0.0627i
1.6229	-14.3552-0.0171i	-29.5328-0.0619i	-12.4465+0.0081i	-7.0359+0.1812i	-28.6394-0.0615i	-36.0425-0.0630i	-8.8855+1.6377i	-33.0597-0.0626i
1.6250	-14.2926-0.0164i	-29.6715-0.0619i	-12.4203+0.0085i	-7.0640+0.1796i	-28.5794-0.0615i	-35.7453-0.0629i	-8.9002+1.6383i	-33.0301-0.0626i
1.6271	-14.3263-0.0168i	-29.6307-0.0619i	-12.4265+0.0084i	-7.0345+0.1813i	-28.5399-0.0615i	-35.8007-0.0629i	-8.9956+1.6417i	-33.0317-0.0626i
1.6292	-14.3424-0.0169i	-29.7364-0.0619i	-12.4201+0.0085i	-7.0755+0.1790i	-28.4807-0.0615i	-35.7526-0.0629i	-8.8462+1.6363i	-33.0906-0.0627i
1.6313	-14.3529-0.0170i	-29.7296-0.0619i	-12.4530+0.0080i	-7.0817+0.1786i	-28.4092-0.0614i	-35.7561-0.0629i	-8.9257+1.6392i	-33.0405-0.0626i
1.6333	-14.3329-0.0168i	-29.8012-0.0619i	-12.4180+0.0085i	-7.0696+0.1793i	-28.2456-0.0614i	-35.8101-0.0629i	-8.8827+1.6376i	-32.9979-0.0626i
1.6354	-14.3512-0.0170i	-29.8169-0.0619i	-12.4299+0.0083i	-7.0559+0.1801i	-28.2204-0.0614i	-35.7348-0.0629i	-8.8893+1.6379i	-32.9879-0.0626i
1.6375	-14.3428-0.0169i	-29.9004-0.0620i	-12.4157+0.0086i	-7.1026+0.1775i	-28.3985-0.0614i	-35.8535-0.0629i	-8.8134+1.6351i	-33.0115-0.0626i
1.6396	-14.3532-0.0170i	-29.9720-0.0620i	-12.4223+0.0085i	-7.0831+0.1786i	-28.2711-0.0614i	-35.8379-0.0629i	-8.8118+1.6350i	-32.9351-0.0626i
1.6417	-14.3301-0.0168i	-30.0166-0.0620i	-12.4120+0.0086i	-7.1039+0.1774i	-28.1815-0.0613i	-35.9102-0.0629i	-8.8317+1.6357i	-32.9664-0.0626i
1.6438	-14.3439-0.0169i	-30.1453-0.0620i	-12.4131+0.0086i	-7.1314+0.1759i	-28.2120-0.0614i	-35.8233-0.0629i	-8.7140+1.6313i	-33.0082-0.0626i
1.6458	-14.3263-0.0168i	-30.2001-0.0621i	-12.4107+0.0086i	-7.1443+0.1752i	-28.2180-0.0614i	-36.0296-0.0630i	-8.7346+1.6321i	-33.0027-0.0626i
1.6479	-14.3076-0.0166i	-30.3365-0.0621i	-12.4127+0.0086i	-7.1241+0.1763i	-28.1599-0.0613i	-35.9933-0.0630i	-8.7572+1.6330i	-32.8961-0.0626i
1.6500	-14.2954-0.0164i	-30.3932-0.0621i	-12.4085+0.0087i	-7.1532+0.1747i	-28.1874-0.0613i	-36.1535-0.0630i	-8.7377+1.6322i	-32.9769-0.0626i
1.6521	-14.2830-0.0163i	-30.4833-0.0621i	-12.4144+0.0086i	-7.1848+0.1729i	-28.1760-0.0613i	-36.1315-0.0630i	-8.7148+1.6314i	-32.9497-0.0626i
1.6542	-14.1744-0.0151i	-30.5190-0.0621i	-12.3709+0.0093i	-7.2038+0.1719i	-28.4374-0.0614i	-36.2795-0.0630i	-8.8479+1.6363i	-33.0109-0.0626i
1.6562	-14.1751-0.0151i	-30.5518-0.0622i	-12.3781+0.0092i	-7.1888+0.1727i	-28.3836-0.0614i	-36.3127-0.0630i	-8.8452+1.6362i	-32.8924-0.0626i
1.6583	-14.2129-0.0155i	-30.6975-0.0622i	-12.3773+0.0092i	-7.2146+0.1713i	-28.2993-0.0614i	-36.4104-0.0630i	-8.6684+1.6296i	-32.9638-0.0626i
1.6604	-14.1569-0.0149i	-30.5253-0.0621i	-12.3518+0.0096i	-7.2086+0.1716i	-28.3424-0.0614i	-36.3828-0.0630i	-8.7149+1.6314i	-32.9168-0.0626i
1.6625	-14.1552-0.0149i	-30.6517-0.0622i	-12.3656+0.0094i	-7.2448+0.1697i	-28.3450-0.0614i	-36.6486-0.0630i	-8.5716+1.6259i	-33.0415-0.0626i
1.6646	-14.1075-0.0144i	-30.6079-0.0622i	-12.3644+0.0094i	-7.2324+0.1703i	-28.3446-0.0614i	-36.6299-0.0630i	-8.6400+1.6285i	-32.9725-0.0626i
1.6667	-14.1203-0.0145i	-30.6082-0.0622i	-12.3531+0.0096i	-7.2440+0.1697i	-28.3922-0.0614i	-36.9040-0.0630i	-8.5492+1.6250i	-33.0647-0.0626i
1.6687	-14.0867-0.0141i	-30.6292-0.0622i	-12.3417+0.0098i	-7.2282+0.1706i	-28.3799-0.0614i	-36.8141-0.0630i	-8.5407+1.6247i	-33.0470-0.0626i
1.6708	-14.0587-0.0138i	-30.6322-0.0622i	-12.3242+0.0101i	-7.2528+0.1692i	-28.4829-0.0615i	-37.0792-0.0630i	-8.4602+1.6214i	-33.1737-0.0627i
1.6729	-14.0442-0.0137i	-30.6710-0.0622i	-12.3206+0.0101i	-7.2543+0.1692i	-28.4605-0.0615i	-37.0301-0.0630i	-8.4269+1.6201i	-33.1211-0.0627i
1.6750	-13.9905-0.0131i	-30.6502-0.0622i	-12.3185+0.0102i	-7.2530+0.1692i	-28.5240-0.0615i	-37.2117-0.0630i	-8.4225+1.6199i	-33.2209-0.0627i
1.6771	-13.9804-0.0129i	-30.6326-0.0622i	-12.3039+0.0104i	-7.3181+0.1658i	-28.5666-0.0615i	-37.0815-0.0630i	-8.3347+1.6163i	-33.2404-0.0627i
1.6792	-13.9596-0.0127i	-30.5835-0.0622i	-12.3010+0.0105i	-7.3014+0.1666i	-28.7255-0.0616i	-37.3407-0.0630i	-8.3214+1.6158i	-33.3848-0.0627i
1.6812	-13.9200-0.0122i	-30.3991-0.0621i	-12.2982+0.0105i	-7.2667+0.1685i	-28.7145-0.0616i	-37.2596-0.0630i	-8.2988+1.6148i	-33.2887-0.0627i
1.6833	-13.8663-0.0116i	-30.4850-0.0621i	-12.2945+0.0106i	-7.2802+0.1678i	-28.7836-0.0616i	-37.4538-0.0630i	-8.2112+1.6111i	-33.4641-0.0627i
1.6854	-13.9021-0.0120i	-30.4519-0.0621i	-12.2829+0.0108i	-7.3221+0.1655i	-28.8458-0.0616i	-37.4026-0.0630i	-8.0291+1.6032i	-33.4585-0.0627i
1.6875	-13.8863-0.0119i	-30.3264-0.0621i	-12.2722+0.0109i	-7.3168+0.1658i	-28.9322-0.0616i	-37.5907-0.0631i	-7.9965+1.6018i	-33.5831-0.0627i
1.6896	-13.8395-0.0113i	-30.3052-0.0621i	-12.2722+0.0109i	-7.2562+0.1691i	-28.9373-0.0616i	-37.5019-0.0630i	-8.0873+1.6058i	-33.5081-0.0627i
1.6917	-13.8582-0.0115i	-30.1710-0.0621i	-12.2682+0.0110i	-7.2676+0.1684i	-29.0478-0.0617i	-37.6865-0.0631i	-8.0300+1.6032i	-33.6556-0.0627i
1.6938	-13.8114-0.0110i	-30.1164-0.0620i	-12.2542+0.0112i	-7.2935+0.1671i	-29.0488-0.0617i	-37.5589-0.0631i	-8.0018+1.6020i	-33.6768-0.0627i
1.6958	-13.8358-0.0113i	-29.9969-0.0620i	-12.2612+0.0111i	-7.2706+0.1683i	-29.1086-0.0617i	-37.7658-0.0631i	-7.9181+1.5982i	-33.7749-0.0627i
1.6979	-13.8004-0.0108i	-29.9196-0.0620i	-12.2700+0.0110i	-7.2749+0.1681i	-29.1306-0.0617i	-37.6457-0.0631i	-7.9226+1.5984i	-33.7734-0.0627i
1.7000	-13.8476-0.0114i	-29.7565-0.0619i	-12.2678+0.0110i	-7.2648+0.1686i	-29.2645-0.0618i	-37.8258-0.0631i	-7.9094+1.5978i	-33.8342-0.0627i
1.7021	-13.8304-0.0112i	-29.7148-0.0619i	-12.2618+0.0111i	-7.2403+0.1699i	-29.2625-0.0618i	-37.6276-0.0631i	-7.8240+1.5938i	-33.8538-0.0628i
1.7042	-13.8661-0.0116i	-29.5673-0.0619i	-12.2697+0.0110i	-7.2567+0.1690i	-29.4928-0.0618i	-37.8441-0.0631i	-7.7596+1.5908i	-33.9775-0.0628i
1.7063	-13.8819-0.0118i	-29.6584-0.0619i	-12.2541+0.0112i	-7.2227+0.1709i	-29.5013-0.0618i	-37.6303-0.0631i	-7.6887+1.5874i	-34.0002-0.0628i
1.7083	-13.8979-0.0120i	-29.5001-0.0618i	-12.2628+0.0111i	-7.2207+0.1710i	-29.5645-0.0619i	-37.7760-0.0631i	-7.6705+1.5865i	-34.0546-0.0628i
1.7104	-13.9047-0.0121i	-29.6046-0.0619i	-12.2457+0.0114i	-7.2346+0.1702i	-29.6320-0.0619i	-37.5275-0.0631i	-7.5787+1.5820i	-34.0724-0.0628i
1.7125	-13.9169-0.0122i	-29.4755-0.0618i	-12.2599+0.0111i	-7.2123+0.1714i	-29.7004-0.0619i	-37.7464-0.0631i	-7.5657+1.5814i	-34.1670-0.0628i
1.7146	-13.9224-0.0123i	-29.3895-0.0618i	-12.2643+0.0111i	-7.1865+0.1728i	-29.8247-0.0619i	-37.6738-0.0631i	-7.5374+1.5800i	-34.1350-0.0628i
1.7167	-13.8499-0.0114i	-29.3003-0.0618i	-12.2306+0.0116i	-7.1932+0.1725i	-30.1559-0.0620i	-37.8100-0.0631i	-7.6045+1.5833i	-34.2862-0.0628i
1.7188	-13.8931-0.0119i	-29.5650-0.0619i	-12.2495+0.0113i	-7.2049+0.1718i	-30.1105-0.0620i	-37.4516-0.0630i	-7.5127+1.5787i	-34.3170-0.0628i
1.7208	-14.0188-0.0134i	-29.4547-0.0618i	-12.2545+0.0112i	-7.1925+0.1725i	-29.8866-0.0620i	-37.5439-0.0631i	-7.3071+1.5681i	-34.3999-0.0628i
1.7229	-13.9898-0.0131i	-29.4852-0.0618i	-12.2434+0.0114i	-7.1511+0.1748i	-29.9632-0.0620i	-37.3805-0.0630i	-7.3423+1.5699i	-34.3667-0.0628i
1.7250	-14.0504-0.0137i	-29.4554-0.0618i	-12.2684+0.0110i	-7.1514+0.1748i	-29.9126-0.0620i	-37.5131-0.0631i	-7.2830+1.5668i	-34.4143-0.0628i
1.7271	-14.0582-0.0138i	-29.4458-0.0618i	-12.2457+0.0114i	-7.1212+0.1764i	-29.9524-0.0620i	-37.2604-0.0630i	-7.2011+1.5624i	-34.5114-0.0628i
1.7292	-14.1098-0.0144i	-29.4485-0.0618i	-12.2571+0.0112i	-7.1223+0.1764i	-29.9698-0.0620i	-37.4169-0.0630i	-7.0892+1.5562i	-34.5917-0.0628i
1.7312	-14.1303-0.0146i	-29.5185-0.0619i	-12.2720+0.0109i	-7.1194+0.1765i	-29.9469-0.0620i	-37.2335-0.0630i	-7.0467+1.5538i	-34.6125-0.0628i
1.7333	-14.1590-0.0149i	-29.4645-0.0618i	-12.2564+0.0112i	-7.1052+0.1773i	-29.9109-0.0620i	-37.3275-0.0630i	-7.0481+1.5539i	-34.6287-0.0628i
1.7354	-14.1952-0.0153i	-29.5118-0.0618i	-12.2675+0.0110i	-7.0966+0.1778i	-29.8973-0.0620i	-37.1242-0.0630i	-6.9525+1.5484i	-34.6934-0.0628i
1.7375	-14.2163-0.0156i	-29.4937-0.0618i	-12.2702+0.0110i	-7.0950+0.1779i	-29.8891-0.0620i	-37.1867-0.0630i	-6.9086+1.5459i	-34.7756-0.0629i
1.7396	-14.2570-0.0160i	-29.5271-0.0619i	-12.2714+0.0110i	-7.0876+0.1783i	-29.9085-0.0620i	-37.0136-0.0630i	-6.8176+1.5405i	-34.8160-0.0629i
1.7417	-14.2690-0.0161i	-29.5001-0.0618i	-12.2712+0.0110i	-7.0744+0.1791i	-29.9057-0.0620i	-37.1326-0.0630i	-6.7947+1.5391i	-34.9539-0.0629i
1.7437	-14.2883-0.0164i	-29.5237-0.0619i	-12.2734+0.0109i	-7.0581+0.1800i	-29.8862-0.0620i	-36.9256-0.0630i	-6.7201+1.5345i	-34.9714-0.0629i
1.7458	-14.3164-0.0167i	-29.5593-0.0619i	-12.2815+0.0108i	-7.0462+0.1806i	-29.7722-0.0619i	-37.0518-0.0630i	-6.6907+1.5327i	-35.0350-0.0629i
1.7479	-14.3826-0.0173i	-29.6423-0.0619i	-12.2772+0.0109i	-7.0083+0.1828i	-29.7816-0.0619i	-36.9609-0.0630i	-6.5421+1.5233i	-35.0150-0.0629i
1.7500	-14.3927-0.0175i	-29.6197-0.0619i	-12.2651+0.0111i	-7.0091+0.1828i	-29.6702-0.0619i	-37.0342-0.0630i	-6.5027+1.5207i	-35.1476-0.0629i
1.7521	-14.4063-0.0176i	-29.5666-0.0619i	-12.2730+0.0109i	-6.9982+0.1834i	-29.6372-0.0619i	-36.8083-0.0630i	-6.5196+1.5218i	-35.1855-0.0629i
1.7542	-14.4534-0.0181i	-29.5906-0.0619i	-12.2774+0.0108i	-6.9999+0.1833i	-29.4746-0.0618i	-36.9053-0.0630i	-6.4184+1.5152i	-35.3345-0.0629i
1.7563	-14.4458-0.0180i	-29.5208-0.0619i	-12.2792+0.0108i	-6.9671+0.1852i	-29.4110-0.0618i	-36.8107-0.0630i	-6.4240+1.5156i	-35.3742-0.0629i
1.7583	-14.4502-0.0181i	-29.5459-0.0619i	-12.2738+0.0109i	-6.9470+0.1863i	-29.3382-0.0618i	-36.8649-0.0630i	-6.4045+1.5143i	-35.3426-0.0629i
1.7604	-14.4688-0.0182i	-29.5431-0.0619i	-12.2731+0.0109i	-6.9392+0.1868i	-29.2777-0.0618i	-36.7042-0.0630i	-6.3384+1.5098i	-35.4627-0.0629i
1.7625	-14.5067-0.0186i	-29.5093-0.0618i	-12.2763+0.0109i	-6.9507+0.1861i	-29.2947-0.0618i	-36.8137-0.0630i	-6.2637+1.5046i	-35.5485-0.0629i
1.7646	-14.5141-0.0187i	-29.5370-0.0619i	-12.2830+0.0108i	-6.9186+0.1880i	-29.2270-0.0618i	-36.7319-0.0630i	-6.2037+1.5004i	-35.5538-0.0629i
1.7667	-14.5136-0.0187i	-29.5332-0.0619i	-12.2774+0.0108i	-6.9174+0.1881i	-29.0410-0.0617i	-36.7886-0.0630i	-6.2034+1.5004i	-35.6053-0.0629i
1.7688	-14.5530-0.0191i	-29.5275-0.0619i	-12.2766+0.0109i	-6.8988+0.1892i	-29.0120-0.0617i	-36.6340-0.0630i	-6.1045+1.4933i	-35.7171-0.0629i
1.7708	-14.5713-0.0193i	-29.5242-0.0619i	-12.2739+0.0109i	-6.9066+0.1887i	-28.9276-0.0616i	-36.7757-0.0630i	-6.0452+1.4890i	-35.8014-0.0629i
1.7729	-14.5868-0.0194i	-29.5575-0.0619i	-12.2769+0.0109i	-6.8928+0.1895i	-28.8469-0.0616i	-36.6350-0.0630i	-5.9838+1.4844i	-35.8039-0.0629i
1.7750	-14.6001-0.0196i	-29.5398-0.0619i	-12.2775+0.0108i	-6.8838+0.1900i	-28.7618-0.0616i	-36.7393-0.0630i	-5.9413+1.4812i	-36.0029-0.0630i
1.7771	-14.6591-0.0202i	-29.5423-0.0619i	-12.3145+0.0102i	-6.9150+0.1882i	-28.7183-0.0616i	-36.5944-0.0630i	-5.8664+1.4754i	-36.0160-0.0630i
1.7792	-14.5219-0.0188i	-29.5168-0.0619i	-12.2731+0.0109i	-6.9139+0.1883i	-28.7029-0.0616i	-36.7334-0.0630i	-5.9799+1.4841i	-36.1405-0.0630i
1.7812	-14.5844-0.0194i	-29.5372-0.0619i	-12.2943+0.0106i	-6.9032+0.1889i	-28.6298-0.0615i	-36.6094-0.0630i	-5.9018+1.4782i	-36.1459-0.0630i
1.7833	-14.6747-0.0203i	-29.5708-0.0619i	-12.3025+0.0104i	-6.9054+0.1888i	-28.5200-0.0615i	-36.6412-0.0630i	-5.7141+1.4633i	-36.2827-0.0630i
1.7854	-14.6521-0.0201i	-29.5840-0.0619i	-12.2912+0.0106i	-6.8857+0.1899i	-28.4376-0.0614i	-36.5672-0.0630i	-5.7079+1.4628i	-36.3614-0.0630i
1.7875	-14.7016-0.0206i	-29.5870-0.0619i	-12.3055+0.0104i	-6.9021+0.1890i	-28.3835-0.0614i	-36.6943-0.0630i	-5.5919+1.4532i	-36.4811-0.0630i
1.7896	-14.6826-0.0204i	-29.5570-0.0619i	-12.2841+0.0107i	-6.8471+0.1922i	-28.2944-0.0614i	-36.5831-0.0630i	-5.5646+1.4509i	-36.5404-0.0630i
1.7917	-14.6922-0.0205i	-29.5778-0.0619i	-12.2911+0.0106i	-6.8556+0.1917i	-28.2784-0.0614i	-36.7163-0.0630i	-5.5225+1.4473i	-36.6160-0.0630i
1.7937	-14.7114-0.0207i	-29.7083-0.0619i	-12.2916+0.0106i	-6.8550+0.1917i	-28.1980-0.0613i	-36.5809-0.0630i	-5.4375+1.4399i	-36.7330-0.0630i
1.7958	-14.7156-0.0207i	-29.6814-0.0619i	-12.2833+0.0108i	-6.8663+0.1911i	-28.2671-0.0614i	-36.7357-0.0630i	-5.3721+1.4341i	-36.8605-0.0630i
1.7979	-14.7274-0.0208i	-29.6334-0.0619i	-12.2925+0.0106i	-6.8493+0.1921i	-28.1642-0.0613i	-36.6651-0.0630i	-5.3194+1.4293i	-36.9407-0.0630i
1.8000	-14.6950-0.0205i	-29.6586-0.0619i	-12.2855+0.0107i	-6.8428+0.1925i	-28.1316-0.0613i	-36.7517-0.0630i	-5.3279+1.4301i	-36.9883-0.0630i
1.8021	-14.7173-0.0207i	-29.7569-0.0619i	-12.2672+0.0110i	-6.8428+0.1925i	-28.1106-0.0613i	-36.6345-0.0630i	-5.2389+1.4218i	-37.1405-0.0630i
1.8042	-14.7168-0.0207i	-29.7323-0.0619i	-12.2649+0.0111i	-6.8605+0.1914i	-28.1843-0.0613i	-36.7983-0.0630i	-5.1577+1.4141i	-37.3248-0.0630i
1.8062	-14.7124-0.0207i	-29.6577-0.0619i	-12.2599+0.0111i	-6.8300+0.1932i	-28.1158-0.0613i	-36.7278-0.0630i	-5.1193+1.4103i	-37.3216-0.0630i
1.8083	-14.7112-0.0207i	-29.7214-0.0619i	-12.2501+0.0113i	-6.8354+0.1929i	-28.0492-0.0613i	-36.8280-0.0630i	-5.0788+1.4063i	-37.4833-0.0630i
1.8104	-14.7777-0.0213i	-29.7858-0.0619i	-12.2575+0.0112i	-6.8402+0.1926i	-28.0626-0.0613i	-36.7997-0.0630i	-4.9168+1.3898i	-37.6060-0.0631i
1.8125	-14.7629-0.0212i	-29.7613-0.0619i	-12.2382+0.0115i	-6.8447+0.1924i	-28.0861-0.0613i	-36.9387-0.0630i	-4.9121+1.3893i	-37.7394-0.0631i
1.8146	-14.7465-0.0210i	-29.6373-0.0619i	-12.2419+0.0114i	-6.8343+0.1930i	-28.0236-0.0613i	-36.7306-0.0630i	-4.9361+1.3918i	-37.7667-0.0631i
1.8167	-14.7631-0.0212i	-29.6597-0.0619i	-12.2272+0.0117i	-6.8440+0.1924i	-28.0351-0.0613i	-36.8785-0.0630i	-4.8417+1.3818i	-38.0541-0.0631i
1.8188	-14.7501-0.0210i	-29.6890-0.0619i	-12.2248+0.0117i	-6.8371+0.1928i	-28.0181-0.0613i	-36.7712-0.0630i	-4.8073+1.3781i	-38.2026-0.0631i
1.8208	-14.7546-0.0211i	-29.6773-0.0619i	-12.2263+0.0117i	-6.8439+0.1924i	-27.9750-0.0612i	-36.8745-0.0630i	-4.7228+1.3687i	-38.2803-0.0631i
1.8229	-14.7402-0.0209i	-29.6852-0.0619i	-12.2133+0.0119i	-6.8247+0.1936i	-27.9733-0.0612i	-36.7981-0.0630i	-4.6925+1.3653i	-38.3432-0.0631i
1.8250	-14.7353-0.0209i	-29.6419-0.0619i	-12.1912+0.0123i	-6.8352+0.1929i	-28.1250-0.0613i	-36.8934-0.0630i	-4.6851+1.3645i	-38.4323-0.0631i
1.8271	-14.7971-0.0215i	-29.7471-0.0619i	-12.2274+0.0117i	-6.8478+0.1922i	-28.0170-0.0613i	-36.8132-0.0630i	-4.6061+1.3553i	-38.4460-0.0631i
1.8292	-14.7920-0.0214i	-29.7190-0.0619i	-12.2117+0.0120i	-6.8584+0.1915i	-28.0601-0.0613i	-36.9031-0.0630i	-4.5399+1.3474i	-38.6417-0.0631i
1.8313	-14.7842-0.0214i	-29.6935-0.0619i	-12.1762+0.0126i	-6.7625+0.1973i	-28.0950-0.0613i	-36.7384-0.0630i	-4.4547+1.3370i	-38.7896-0.0631i
1.8333	-14.7813-0.0213i	-29.7001-0.0619i	-12.1779+0.0125i	-6.7722+0.1967i	-28.0672-0.0613i	-36.8669-0.0630i	-4.4551+1.3370i	-38.8724-0.0631i
1.8354	-14.7582-0.0211i	-29.7223-0.0619i	-12.1690+0.0127i	-6.8153+0.1941i	-28.0840-0.0613i	-36.6790-0.0630i	-4.4079+1.3311i	-38.9656-0.0631i
1.8375	-14.7824-0.0213i	-29.7101-0.0619i	-12.1735+0.0126i	-6.8086+0.1945i	-28.1318-0.0613i	-36.8670-0.0630i	-4.3220+1.3199i	-39.2109-0.0631i
1.8396	-14.7840-0.0214i	-29.6274-0.0619i	-12.1590+0.0129i	-6.8410+0.1926i	-28.1310-0.0613i	-36.7337-0.0630i	-4.2889+1.3155i	-39.3255-0.0631i
1.8417	-14.6403-0.0200i	-29.5933-0.0619i	-12.1247+0.0135i	-6.8284+0.1933i	-28.3534-0.0614i	-36.8419-0.0630i	-4.3498+1.3236i	-39.5684-0.0631i
1.8438	-14.7035-0.0206i	-29.6084-0.0619i	-12.1415+0.0132i	-6.8475+0.1922i	-28.3560-0.0614i	-36.6921-0.0630i	-4.2654+1.3123i	-39.6251-0.0631i
1.8458	-14.8305-0.0218i	-29.6266-0.0619i	-12.0787+0.0143i	-6.8849+0.1900i	-28.2531-0.0614i	-36.7620-0.0630i	-4.0908+1.2877i	-39.6981-0.0631i
1.8479	-14.7972-0.0215i	-29.5755-0.0619i	-12.0820+0.0142i	-6.8605+0.1914i	-28.2812-0.0614i	-36.6594-0.0630i	-4.0959+1.2884i	-39.6445-0.0631i
1.8500	-14.8174-0.0217i	-29.5413-0.0619i	-12.1585+0.0129i	-6.8425+0.1925i	-28.2258-0.0614i	-36.8271-0.0630i	-4.0749+1.2853i	-39.8558-0.0631i
1.8521	-14.8154-0.0217i	-29.5057-0.0618i	-12.1166+0.0136i	-6.8097+0.1945i	-28.2737-0.0614i	-36.6689-0.0630i	-4.0099+1.2755i	-40.0300-0.0631i
1.8542	-14.8363-0.0219i	-29.4823-0.0618i	-12.1485+0.0130i	-6.8132+0.1942i	-28.2566-0.0614i	-36.7787-0.0630i	-3.9456+1.2655i	-40.1240-0.0632i
1.8562	-14.8411-0.0219i	-29.5001-0.0618i	-12.1360+0.0133i	-6.8218+0.1937i	-28.2758-0.0614i	-36.6518-0.0630i	-3.9005+1.2583i	-40.2765-0.0632i
1.8583	-14.8297-0.0218i	-29.4422-0.0618i	-12.1219+0.0135i	-6.8134+0.1942i	-28.2684-0.0614i	-36.7957-0.0630i	-3.9126+1.2602i	-40.2580-0.0632i
1.8604	-14.8609-0.0221i	-29.4679-0.0618i	-12.1261+0.0134i	-6.8035+0.1948i	-28.2760-0.0614i	-36.6642-0.0630i	-3.8427+1.2487i	-40.4339-0.0632i
1.8625	-14.8698-0.0222i	-29.4127-0.0618i	-12.1338+0.0133i	-6.8175+0.1940i	-28.3148-0.0614i	-36.7243-0.0630i	-3.7942+1.2404i	-40.5482-0.0632i
1.8646	-14.8905-0.0224i	-29.4475-0.0618i	-12.1430+0.0131i	-6.8272+0.1934i	-28.3411-0.0614i	-36.5745-0.0630i	-3.7470+1.2321i	-40.5824-0.0632i
1.8667	-14.8853-0.0223i	-29.3878-0.0618i	-12.1324+0.0133i	-6.8153+0.1941i	-28.3684-0.0614i	-36.7618-0.0630i	-3.7508+1.2328i	-40.7406-0.0632i
1.8687	-14.8881-0.0223i	-29.3922-0.0618i	-12.1348+0.0133i	-6.8140+0.1942i	-28.3617-0.0614i	-36.5818-0.0630i	-3.7142+1.2262i	-40.7869-0.0632i
1.8708	-14.9219-0.0227i	-29.3895-0.0618i	-12.1278+0.0134i	-6.8339+0.1930i	-28.4129-0.0614i	-36.7228-0.0630i	-3.6076+1.2062i	-41.1669-0.0632i
1.8729	-14.9727-0.0231i	-29.3787-0.0618i	-12.1291+0.0134i	-6.8261+0.1935i	-28.4336-0.0614i	-36.6598-0.0630i	-3.5401+1.1926i	-41.2838-0.0632i
1.8750	-14.9678-0.0231i	-29.3223-0.0618i	-12.1097+0.0137i	-6.8180+0.1940i	-28.4088-0.0614i	-36.7827-0.0630i	-3.5589+1.1965i	-41.2577-0.0632i
1.8771	-14.9331-0.0228i	-29.3450-0.0618i	-12.0982+0.0139i	-6.8016+0.1949i	-28.3961-0.0614i	-36.5303-0.0630i	-3.5691+1.1985i	-41.3300-0.0632i
1.8792	-14.9660-0.0231i	-29.2921-0.0618i	-12.1268+0.0134i	-6.7976+0.1952i	-28.4133-0.0614i	-36.6498-0.0630i	-3.5463+1.1939i	-41.5728-0.0632i
1.8813	-14.9679-0.0231i	-29.1446-0.0617i	-12.1341+0.0133i	-6.7946+0.1954i	-28.3926-0.0614i	-36.5241-0.0630i	-3.5401+1.1926i	-41.7016-0.0632i
1.8833	-14.9547-0.0230i	-29.1517-0.0617i	-12.1239+0.0135i	-6.7907+0.1956i	-28.3847-0.0614i	-36.6131-0.0630i	-3.5060+1.1855i	-41.5839-0.0632i
1.8854	-14.9607-0.0230i	-29.2879-0.0618i	-12.1315+0.0133i	-6.7713+0.1968i	-28.3775-0.0614i	-36.4328-0.0630i	-3.4960+1.1834i	-41.8029-0.0632i
1.8875	-14.9870-0.0233i	-29.1853-0.0617i	-12.1335+0.0133i	-6.7848+0.1960i	-28.3242-0.0614i	-36.5115-0.0630i	-3.4472+1.1728i	-41.8006-0.0632i
1.8896	-14.9580-0.0230i	-29.2824-0.0618i	-12.1236+0.0135i	-6.7864+0.1959i	-28.3766-0.0614i	-36.3785-0.0630i	-3.4878+1.1816i	-41.8571-0.0632i
1.8917	-14.9614-0.0230i	-29.2324-0.0618i	-12.1098+0.0137i	-6.7834+0.1960i	-28.3936-0.0614i	-36.5295-0.0630i	-3.4995+1.1841i	-41.8284-0.0632i
1.8938	-15.0150-0.0235i	-29.0882-0.0617i	-12.1180+0.0136i	-6.7825+0.1961i	-28.3673-0.0614i	-36.3264-0.0630i	-3.4063+1.1636i	-41.7735-0.0632i
1.8958	-15.0973-0.0243i	-29.1056-0.0617i	-12.1527+0.0130i	-6.8180+0.1940i	-28.3653-0.0614i	-36.4312-0.0630i	-3.4006+1.1623i	-41.8268-0.0632i
1.8979	-15.0901-0.0242i	-29.0794-0.0617i	-12.1527+0.0130i	-6.7903+0.1956i	-28.3498-0.0614i	-36.2699-0.0630i	-3.3641+1.1537i	-41.8616-0.0632i
1.9000	-15.0919-0.0242i	-29.0346-0.0617i	-12.1543+0.0129i	-6.7771+0.1964i	-28.2865-0.0614i	-36.4659-0.0630i	-3.3842+1.1584i	-41.7375-0.0632i
1.9021	-15.1208-0.0245i	-29.2408-0.0618i	-12.1594+0.0129i	-6.7859+0.1959i	-28.2949-0.0614i	-36.2861-0.0630i	-3.3657+1.1541i	-41.8554-0.0632i
